Provinsi,Jenis Kelamin,Tahun,Persentase
Papua Selatan,Laki-Laki,2023,
Papua Selatan,Laki-Laki,2022,
Papua Selatan,Laki-Laki,2021,
Papua Selatan,Laki-Laki,2020,
Papua Selatan,Perempuan,2024,44.48
Papua Selatan,Perempuan,2023,
Papua Selatan,Perempuan,2022,
Papua Selatan,Perempuan,2021,
Papua Selatan,Perempuan,2020,
Papua Tengah,Laki-Laki,2024,54.29
Papua Tengah,Laki-Laki,2023,
Papua Tengah,Laki-Laki,2022,
Papua Tengah,Laki-Laki,2021,
Papua Tengah,Laki-Laki,2020,
Papua Tengah,Perempuan,2024,45.71
Papua Tengah,Perempuan,2023,
Papua Tengah,Perempuan,2022,
Papua Tengah,Perempuan,2021,
Papua Tengah,Perempuan,2020,
Papua Pegunungan,Laki-Laki,2024,60.33
Papua Pegunungan,Laki-Laki,2023,
Papua Pegunungan,Laki-Laki,2022,
Papua Pegunungan,Laki-Laki,2021,
Papua Pegunungan,Laki-Laki,2020,
Papua Pegunungan,Perempuan,2024,39.67
Papua Pegunungan,Perempuan,2023,
Papua Pegunungan,Perempuan,2022,
Papua Pegunungan,Perempuan,2021,
Papua Pegunungan,Perempuan,2020,
