Provinsi,Segmentasi Wilayah,Tahun,Persentase
Kalimantan Selatan,Perkotaan,2023,91.78
Kalimantan Selatan,Perkotaan,2022,90.35
Kalimantan Selatan,Perkotaan,2021,89.21
Kalimantan Selatan,Perkotaan,2020,87.38
Kalimantan Selatan,Perdesaan,2024,86.44
Kalimantan Selatan,Perdesaan,2023,85.15
Kalimantan Selatan,Perdesaan,2022,84.17
Kalimantan Selatan,Perdesaan,2021,77.53
Kalimantan Selatan,Perdesaan,2020,70.95
Kalimantan Timur,Perkotaan,2024,96.69
Kalimantan Timur,Perkotaan,2023,94.87
Kalimantan Timur,Perkotaan,2022,94.41
Kalimantan Timur,Perkotaan,2021,92.53
Kalimantan Timur,Perkotaan,2020,91.39
Kalimantan Timur,Perdesaan,2024,92.74
Kalimantan Timur,Perdesaan,2023,88.75
Kalimantan Timur,Perdesaan,2022,89.99
Kalimantan Timur,Perdesaan,2021,83.4
Kalimantan Timur,Perdesaan,2020,77.46
Kalimantan Utara,Perkotaan,2024,97.38
Kalimantan Utara,Perkotaan,2023,96.35
Kalimantan Utara,Perkotaan,2022,96.95
Kalimantan Utara,Perkotaan,2021,93.94
Kalimantan Utara,Perkotaan,2020,92.79
Kalimantan Utara,Perdesaan,2024,89.44
Kalimantan Utara,Perdesaan,2023,89.09
Kalimantan Utara,Perdesaan,2022,89.62
Kalimantan Utara,Perdesaan,2021,78.4
Kalimantan Utara,Perdesaan,2020,76.99
Sulawesi Utara,Perkotaan,2024,92.57
Sulawesi Utara,Perkotaan,2023,88.96
Sulawesi Utara,Perkotaan,2022,87.16
Sulawesi Utara,Perkotaan,2021,87.21
Sulawesi Utara,Perkotaan,2020,85.49
Sulawesi Utara,Perdesaan,2024,85.19
Sulawesi Utara,Perdesaan,2023,81.95
Sulawesi Utara,Perdesaan,2022,79.06
Sulawesi Utara,Perdesaan,2021,74.98
Sulawesi Utara,Perdesaan,2020,70.6
Sulawesi Tengah,Perkotaan,2024,94.62
Sulawesi Tengah,Perkotaan,2023,91.86
Sulawesi Tengah,Perkotaan,2022,90.62
Sulawesi Tengah,Perkotaan,2021,88.88
Sulawesi Tengah,Perkotaan,2020,89.58
Sulawesi Tengah,Perdesaan,2024,84.59
Sulawesi Tengah,Perdesaan,2023,81.03
Sulawesi Tengah,Perdesaan,2022,78.27
Sulawesi Tengah,Perdesaan,2021,70.89
Sulawesi Tengah,Perdesaan,2020,60.11
Sulawesi Selatan,Perkotaan,2024,96.23
Sulawesi Selatan,Perkotaan,2023,93.67
Sulawesi Selatan,Perkotaan,2022,92.02
Sulawesi Selatan,Perkotaan,2021,90.82
Sulawesi Selatan,Perkotaan,2020,87.37
Sulawesi Selatan,Perdesaan,2024,88.59
Sulawesi Selatan,Perdesaan,2023,85.96
Sulawesi Selatan,Perdesaan,2022,85.11
Sulawesi Selatan,Perdesaan,2021,75.71
Sulawesi Selatan,Perdesaan,2020,69.8
Sulawesi Tenggara,Perkotaan,2024,94.65
Sulawesi Tenggara,Perkotaan,2023,92.83
Sulawesi Tenggara,Perkotaan,2022,92.52
Sulawesi Tenggara,Perkotaan,2021,89.86
Sulawesi Tenggara,Perkotaan,2020,87.49
Sulawesi Tenggara,Perdesaan,2024,89.78
Sulawesi Tenggara,Perdesaan,2023,86.14
Sulawesi Tenggara,Perdesaan,2022,84.77
Sulawesi Tenggara,Perdesaan,2021,77.35
Sulawesi Tenggara,Perdesaan,2020,68.49
Gorontalo,Perkotaan,2024,94.25
Gorontalo,Perkotaan,2023,93.01
Gorontalo,Perkotaan,2022,89.85
Gorontalo,Perkotaan,2021,89.61
Gorontalo,Perkotaan,2020,83.21
Gorontalo,Perdesaan,2024,86.61
Gorontalo,Perdesaan,2023,83.6
Gorontalo,Perdesaan,2022,82.05
Gorontalo,Perdesaan,2021,74.22
Gorontalo,Perdesaan,2020,72.26
Sulawesi Barat,Perkotaan,2024,93.89
Sulawesi Barat,Perkotaan,2023,89.63
Sulawesi Barat,Perkotaan,2022,89.27
Sulawesi Barat,Perkotaan,2021,85.49
Sulawesi Barat,Perkotaan,2020,81.17
Sulawesi Barat,Perdesaan,2024,88.64
Sulawesi Barat,Perdesaan,2023,83.23
Sulawesi Barat,Perdesaan,2022,80.34
Sulawesi Barat,Perdesaan,2021,72.82
Sulawesi Barat,Perdesaan,2020,61.52
Maluku,Perkotaan,2024,95.72
Maluku,Perkotaan,2023,92.8
Maluku,Perkotaan,2022,91.26
