Provinsi,Segmentasi Wilayah,Tahun,Telepon Kabel
Kep. Riau,Perkotaan,2024,0.72
Kep. Riau,Perdesaan,2020,0.04
Kep. Riau,Perdesaan,2021,
Kep. Riau,Perdesaan,2022,0.06
Kep. Riau,Perdesaan,2023,0.07
Kep. Riau,Perdesaan,2024,0.22
Lampung,Perkotaan,2020,1.38
Lampung,Perkotaan,2021,0.84
Lampung,Perkotaan,2022,0.74
Lampung,Perkotaan,2023,1.16
Lampung,Perkotaan,2024,0.82
Lampung,Perdesaan,2020,0.03
Lampung,Perdesaan,2021,0.02
Lampung,Perdesaan,2022,0.1
Lampung,Perdesaan,2023,0.12
Lampung,Perdesaan,2024,0.26
Maluku,Perkotaan,2020,2.18
Maluku,Perkotaan,2021,1.63
Maluku,Perkotaan,2022,0.62
Maluku,Perkotaan,2023,1.45
Maluku,Perkotaan,2024,0.98
Maluku,Perdesaan,2020,0.01
Maluku,Perdesaan,2021,0.11
Maluku,Perdesaan,2022,0.38
Maluku,Perdesaan,2023,0.46
Maluku,Perdesaan,2024,0.21
Maluku Utara,Perkotaan,2020,0.12
Maluku Utara,Perkotaan,2021,
Maluku Utara,Perkotaan,2022,0.75
Maluku Utara,Perkotaan,2023,1.3
Maluku Utara,Perkotaan,2024,1.26
Maluku Utara,Perdesaan,2020,0.24
Maluku Utara,Perdesaan,2021,
Maluku Utara,Perdesaan,2022,0.18
Maluku Utara,Perdesaan,2023,0.12
Maluku Utara,Perdesaan,2024,0.06
Nusa Tenggara Barat,Perkotaan,2020,0.6
Nusa Tenggara Barat,Perkotaan,2021,0.4
Nusa Tenggara Barat,Perkotaan,2022,0.53
Nusa Tenggara Barat,Perkotaan,2023,0.75
Nusa Tenggara Barat,Perkotaan,2024,0.45
Nusa Tenggara Barat,Perdesaan,2020,0.08
Nusa Tenggara Barat,Perdesaan,2021,0.03
Nusa Tenggara Barat,Perdesaan,2022,0.03
Nusa Tenggara Barat,Perdesaan,2023,0.27
Nusa Tenggara Barat,Perdesaan,2024,0.12
Nusa Tenggara Timur,Perkotaan,2020,0.65
Nusa Tenggara Timur,Perkotaan,2021,0.67
