Provinsi,Tahun,Segmentasi Wilayah,Persentase
Nusa Tenggara Barat,2020,Perdesaan,86.63
Nusa Tenggara Timur,2024,Perkotaan,98.08
Nusa Tenggara Timur,2023,Perkotaan,96.9
Nusa Tenggara Timur,2022,Perkotaan,97.33
Nusa Tenggara Timur,2021,Perkotaan,97.63
Nusa Tenggara Timur,2020,Perkotaan,97.53
Nusa Tenggara Timur,2024,Perdesaan,88.85
Nusa Tenggara Timur,2023,Perdesaan,81.95
Nusa Tenggara Timur,2022,Perdesaan,85.27
Nusa Tenggara Timur,2021,Perdesaan,82.91
Nusa Tenggara Timur,2020,Perdesaan,80.76
Papua,2024,Perkotaan,97.06
Papua,2023,Perkotaan,92.11
Papua,2022,Perkotaan,94.98
Papua,2021,Perkotaan,95.51
Papua,2020,Perkotaan,95.01
Papua,2024,Perdesaan,80.09
Papua,2023,Perdesaan,44.18
Papua,2022,Perdesaan,37.36
Papua,2021,Perdesaan,40.36
Papua,2020,Perdesaan,47.07
Papua Barat,2024,Perkotaan,98.87
Papua Barat,2023,Perkotaan,97.87
Papua Barat,2022,Perkotaan,98.37
Papua Barat,2021,Perkotaan,98.59
Papua Barat,2020,Perkotaan,99.02
Papua Barat,2024,Perdesaan,89.8
Papua Barat,2023,Perdesaan,81.4
Papua Barat,2022,Perdesaan,87.15
Papua Barat,2021,Perdesaan,87.8
Papua Barat,2020,Perdesaan,87.09
Papua Barat Daya,2024,Perkotaan,97.85
Papua Barat Daya,2023,Perkotaan,
Papua Barat Daya,2022,Perkotaan,
Papua Barat Daya,2021,Perkotaan,
Papua Barat Daya,2020,Perkotaan,
Papua Barat Daya,2024,Perdesaan,88.92
Papua Barat Daya,2023,Perdesaan,
Papua Barat Daya,2022,Perdesaan,
Papua Barat Daya,2021,Perdesaan,
Papua Barat Daya,2020,Perdesaan,
Papua Pegunungan,2024,Perkotaan,69.7
Papua Pegunungan,2023,Perkotaan,
Papua Pegunungan,2022,Perkotaan,
Papua Pegunungan,2021,Perkotaan,
Papua Pegunungan,2020,Perkotaan,
Papua Pegunungan,2024,Perdesaan,28.65
Papua Pegunungan,2023,Perdesaan,
Papua Pegunungan,2022,Perdesaan,
Papua Pegunungan,2021,Perdesaan,
Papua Pegunungan,2020,Perdesaan,
Papua Selatan,2024,Perkotaan,93.58
Papua Selatan,2023,Perkotaan,
Papua Selatan,2022,Perkotaan,
Papua Selatan,2021,Perkotaan,
Papua Selatan,2020,Perkotaan,
Papua Selatan,2024,Perdesaan,62.57
Papua Selatan,2023,Perdesaan,
Papua Selatan,2022,Perdesaan,
Papua Selatan,2021,Perdesaan,
Papua Selatan,2020,Perdesaan,
Papua Tengah,2024,Perkotaan,99
Papua Tengah,2023,Perkotaan,
Papua Tengah,2022,Perkotaan,
Papua Tengah,2021,Perkotaan,
Papua Tengah,2020,Perkotaan,
Papua Tengah,2024,Perdesaan,33.58
Papua Tengah,2023,Perdesaan,
Papua Tengah,2022,Perdesaan,
Papua Tengah,2021,Perdesaan,
Papua Tengah,2020,Perdesaan,
Riau,2024,Perkotaan,98.66
Riau,2023,Perkotaan,98.17
Riau,2022,Perkotaan,98.66
Riau,2021,Perkotaan,98.9
Riau,2020,Perkotaan,98.28
Riau,2024,Perdesaan,97.15
Riau,2023,Perdesaan,94.89
Riau,2022,Perdesaan,96.34
Riau,2021,Perdesaan,95.6
Riau,2020,Perdesaan,95.21
Sulawesi Barat,2024,Perkotaan,97.53
Sulawesi Barat,2023,Perkotaan,94.98
Sulawesi Barat,2022,Perkotaan,95
Sulawesi Barat,2021,Perkotaan,96.33
Sulawesi Barat,2020,Perkotaan,95.86
Sulawesi Barat,2024,Perdesaan,94.32
Sulawesi Barat,2023,Perdesaan,90.77
Sulawesi Barat,2022,Perdesaan,91.8
Sulawesi Barat,2021,Perdesaan,90.34
Sulawesi Barat,2020,Perdesaan,85.9
Sulawesi Selatan,2024,Perkotaan,98.07
Sulawesi Selatan,2023,Perkotaan,96.15
Sulawesi Selatan,2022,Perkotaan,96.94
Sulawesi Selatan,2021,Perkotaan,96.89
Sulawesi Selatan,2020,Perkotaan,96.69
Sulawesi Selatan,2024,Perdesaan,95.42
Sulawesi Selatan,2023,Perdesaan,91.49
Sulawesi Selatan,2022,Perdesaan,94.91
Sulawesi Selatan,2021,Perdesaan,91.27
Sulawesi Selatan,2020,Perdesaan,92.36
Sulawesi Tengah,2024,Perkotaan,96.87
Sulawesi Tengah,2023,Perkotaan,93.99
Sulawesi Tengah,2022,Perkotaan,96.3
Sulawesi Tengah,2021,Perkotaan,96.29
Sulawesi Tengah,2020,Perkotaan,97.52
Sulawesi Tengah,2024,Perdesaan,91.66
Sulawesi Tengah,2023,Perdesaan,86.69
Sulawesi Tengah,2022,Perdesaan,90
